Years,Age dependency ratio (% of working-age population),CPIA gender equality rating (1=low to 6=high),"Central government debt, total (% of GDP)","Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)","Literacy rate, adult total (% of people ages 15 and above)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),"Unemployment, male (% of male labor force) (national estimate)",Urban population (% of total population),Age dependency ratio (% of working-age population) 2,CPIA gender equality rating (1=low to 6=high) 2,"Central government debt, total (% of GDP) 2","Energy imports, net (% of energy use) 2",GDP growth (annual %) 2,GDP per capita growth (annual %) 2,"Inflation, GDP deflator (annual %) 2","Literacy rate, adult total (% of people ages 15 and above) 2",Military expenditure (% of GDP) 2,"Official exchange rate (LCU per US$, period average) 2","Population, female (% of total population) 2",Real interest rate (%) 2,Trade (% of GDP) 2,"Unemployment, male (% of male labor force) (national estimate) 2",Urban population (% of total population) 2,years before the war,War tracker
1963,67.5725020497519,0.0,0.0,21.1404416220176,10.6957231497208,6.69411230866319,7.69150877930645,39.6233100891113,9.7535741158766,0.000299999342371,49.8420873416482,0.0,39.2329508580552,2.38,79.502,85.09031432283,0.0,0.0,21.1404416220176,10.5180926173666,7.65044443289365,0.915371108625678,39.6233100891113,8.6646884272997,0.434782608884688,49.8199685967237,0.0,41.3457841252403,0.0,38.977,10,Yom-Kippur_War
1964,67.6487841224683,0.0,0.0,21.9615081027033,7.93718642275134,3.75053191908098,5.44308224852034,39.6233100891113,8.98462696194367,0.000299999342371,49.8646193413103,0.0,40.5637737945763,2.38,80.232,84.9466682754593,0.0,0.0,21.9615081027033,11.5075774740325,8.64303260452279,0.862295139785658,39.6233100891113,10.3283898305085,0.434782608884688,49.8247441694226,0.0,43.2722832722833,0.0,39.331,9,Yom-Kippur_War
1965,67.5404960190354,0.0,0.0,23.6913398578209,8.99794750184645,5.25552870349979,-1.30786440112604,39.6233100891113,8.56915377616015,0.000299999342371,49.8922773843413,0.0,37.060075064092,2.38,80.94,84.8054838088407,0.0,0.0,23.6913398578209,4.91404229223662,2.27569981183935,5.46455767944256,39.6233100891113,10.1174345076784,0.434782608884688,49.8305504418761,0.0,37.2632972853675,0.0,39.686,8,Yom-Kippur_War
1966,67.3128374577104,0.0,0.0,24.5198133026893,-0.0796470240328091,-2.58810776819934,8.73082288465234,39.6233100891113,9.43467336683417,0.000299999342371,49.925138690642,0.0,38.2213526452163,2.38,81.63,84.5598749438282,0.0,0.0,24.5198133026893,5.04640371248233,2.44632089168518,2.75119762106486,39.6233100891113,8.71826883062838,0.434782608884688,49.8407831667932,0.0,36.8175683965158,0.0,40.042,7,Yom-Kippur_War
1967,67.0066626228138,0.0,0.0,24.6854043326338,2.9950264634292,-1.35740452737511,-1.68818351341629,39.6233100891113,15.4425144747725,0.0003083326574396,49.9588955892821,0.0,38.1657416294433,2.38,82.3,84.2348605344697,0.0,0.0,24.6854043326338,0.805264127039209,-1.66762140746077,2.83201329328801,39.6233100891113,8.90769850866586,0.434782608884688,49.8564899883092,0.0,35.939719109989,0.0,40.399,6,Yom-Kippur_War
1968,66.6583426681032,0.0,0.0,26.6711270495099,16.2419518797074,13.8366599749542,-1.39929452148753,39.6233100891113,17.4280147218013,0.0003499992327828,49.992402106242,0.0,36.9545871054047,2.38,82.952,83.8303039527089,0.0,0.0,26.6711270495099,-1.60679234956356,-3.99804501955977,1.80143115336028,39.6233100891113,11.1330438215555,0.434782608884688,49.8705585578465,0.0,29.26348956282,0.0,40.758,5,Yom-Kippur_War
1969,66.3106337028353,0.0,0.0,29.3267848163251,13.5657021560075,10.6446517703473,1.59626266238079,39.6233100891113,19.0893169877408,0.0003499992327828,50.0282663624478,0.0,38.3936257384212,2.38,83.582,83.3866517708062,0.0,0.0,29.3267848163251,5.27951751357089,2.74715073736938,0.806310204656143,39.6233100891113,14.3360534124629,0.434782608884688,49.8824279728261,0.0,29.9858977213687,0.0,41.117,4,Yom-Kippur_War
1970,65.9936315153477,0.0,0.0,29.5000190919107,7.30733553016547,3.80739889720445,9.59824380631598,39.6233100891113,23.4470563207999,0.0003499992327828,50.0653802842663,0.0,58.6154629675995,2.38,84.195,82.9824670994533,0.0,0.0,29.5000190919107,5.59851503851672,3.12088049511445,12.5161736901605,39.6233100891113,15.9878828677213,0.434782608884688,49.8939766876659,0.0,30.6627936031984,0.0,41.477,3,Yom-Kippur_War
1971,65.7186487207427,0.0,0.0,-3.46822340102085,10.9510709059369,7.51661286225365,14.4563565447729,39.6233100891113,22.7998034775922,0.0003791658355221,50.1018372350788,0.0,59.3299362515934,2.38,84.789,82.6650582534282,0.0,0.0,-109.712594572638,4.05734632653112,1.68044196747962,1.32672970163317,39.6233100891113,17.1870121760849,0.434782641394297,49.901158139977,0.0,31.0246763634209,0.0,41.838,2,Yom-Kippur_War
1972,65.7309641035576,0.0,0.0,-12.8899805206432,12.1465549312384,9.33220364802114,16.5862222787831,39.6233100891113,20.3710188427547,0.0004179796714114,50.1260797148536,0.0,56.3213449019533,2.38,85.351,82.4163278694793,0.0,0.0,-40.2992412937825,3.05568062514286,0.710927875139689,3.39909361924914,39.6233100891113,13.5645302897278,0.434782608884688,49.9037793469131,0.0,30.0853465291485,0.0,42.2,1,Yom-Kippur_War
1973,66.2399605649317,0.0,0.0,20.7959415415465,5.58746352962901,1.40004124199882,22.2405655268034,40.100528717041,27.856092653735,0.0004194692306552,50.1329415588275,0.0,65.0753446892364,2.38,85.793,82.2081657372434,0.0,0.0,-22.8286514980815,3.50683016247268,1.15304427498042,7.35261504267174,40.100528717041,13.5135135135135,0.397956243179606,49.9072193948996,0.0,31.6962722041531,0.0,42.563,0,Yom-Kippur_War
